"","superkey","policy1","policy2","policy3","policy4","policy5","key2","Population","percent_male","percent_female","under_18","18-24","25-44","45-64","over_65","Mean_income","Unemployment_rate","County Code","County","Crude_rate","outcome"
"160","MD2014",0,0,0,0,0,"2014-24001",73007,0.518991329598532,0.481008670401468,0.176969331707918,0.127467229169806,0.241565877244648,0.261522867670223,0.192474694207405,54526,7.6,24001,"Allegany County",0.150784077201448,1
"161","MD2014",0,0,0,0,0,"2014-24003",559691,0.495616331154155,0.504383668845845,0.225812099890833,0.0904213217650454,0.271324713100622,0.277562083363856,0.134879781879644,110059,5.1,24003,"Anne Arundel County",0.185670189044388,0
"162","MD2014",0,0,0,0,0,"2014-24005",825006,0.473654737056458,0.526345262943542,0.215850551389929,0.0940065890429888,0.260355682261705,0.271733781330075,0.158053395975302,87861,6.1,24005,"Baltimore County",0.197115820660882,0
"163","MD2014",0,0,0,0,0,"2014-24009",90545,0.494472361809045,0.505527638190955,0.241592578275995,0.0871389916616047,0.227003147606163,0.313413219945883,0.130852062510354,109409,5.3,24009,"Calvert County",0.187611049187203,0
"164","MD2014",0,0,0,0,0,"2014-24013",167317,0.494677767351793,0.505322232648207,0.225434355146219,0.0898713221011613,0.220796452243346,0.311797366675233,0.15210050383404,101285,4.8,24013,"Carroll County",0.17875230888399,0
"165","MD2014",0,0,0,0,0,"2014-24015",102201,0.497588086222248,0.502411913777752,0.235017269889727,0.0851263686265301,0.242404673144098,0.29830432187552,0.139147366464125,78047,6.6,24015,"Cecil County",0.312551888497114,0
"166","MD2014",0,0,0,0,0,"2014-24017",154373,0.482882369326242,0.517117630673758,0.247970823913508,0.0940125540087969,0.261328081983248,0.286449055210432,0.110239484884015,104847,5.7,24017,"Charles County",0.116318894712014,0
"167","MD2014",0,0,0,0,0,"2014-24021",243417,0.492159545142697,0.507840454857302,0.239030141691008,0.0882230904168567,0.253478598454504,0.288739077385721,0.130529092051911,100723,5,24021,"Frederick County",0.143633938647789,0
"168","MD2014",0,0,0,0,0,"2014-24025",249330,0.489467773633337,0.510532226366663,0.229852003369029,0.0855011430634099,0.244892311394537,0.294557413869169,0.145197128303854,95858,5.7,24025,"Harford County",0.151936186801543,1
"169","MD2014",0,0,0,0,0,"2014-24027",306998,0.489436413266536,0.510563586733464,0.246714962312458,0.0813099759607554,0.263509859999088,0.286913921263331,0.121551280464368,132666,4.3,24027,"Howard County",0.0549656626272293,1
"170","MD2014",0,0,0,0,0,"2014-24031",1025617,0.482400350228204,0.517599649771796,0.235876550408193,0.0785468649603117,0.272745089053711,0.275727683920996,0.137103811656788,132688,4.4,24031,"Montgomery County",0.056286252471015,0
"171","MD2014",0,0,0,0,0,"2014-24045",101368,0.476047667903086,0.523952332096914,0.220720542972141,0.156183410938363,0.226679030857864,0.252347880988083,0.144069134243548,68847,7.7,24045,"Wicomico County",0.10833275884143,1
"172","MD2014",0,0,0,0,0,"2014-24043",149060,0.508446263249698,0.491553736750302,0.223675030189186,0.0840198577753925,0.256500737957869,0.279122501006306,0.156681873071246,70948,6.5,24043,"Washington County",0.247370849016868,0
"173","MD2015",0,0,0,0,0,"2015-24021",245114,0.492615680866862,0.507384319133138,0.236653149146928,0.0878733976843428,0.252498837275717,0.289351077457836,0.133623538435177,100589,4.5,24021,"Frederick County",0.13044080840691,1
"174","MD2015",0,0,0,0,0,"2015-24025",249589,0.488967863167047,0.511032136832953,0.227445921094279,0.0846311335836115,0.24441381631402,0.293574636702739,0.14993449230535,95283,4.9,24025,"Harford County",0.175796076551201,0
"175","MD2015",0,0,0,0,0,"2015-24027",311449,0.489242219432395,0.510757780567605,0.245475182132548,0.0820070059624529,0.261741087625903,0.285253765464009,0.125522958815087,132751,3.8,24027,"Howard County",0.105292041836038,0
"176","MD2015",0,0,0,0,0,"2015-24031",1033994,0.482864504049346,0.517135495950653,0.234851459486225,0.0793283133170986,0.26946674738925,0.275287864339638,0.141065615467788,133543,3.9,24031,"Montgomery County",0.0663387545235339,0
"177","MD2015",0,0,0,0,0,"2015-24001",72462,0.518782258287102,0.481217741712898,0.176892716182275,0.126231680052993,0.241381689713229,0.260922966520383,0.19457094753112,54511,7,24001,"Allegany County",0.165453342157512,0
"178","MD2015",0,0,0,0,0,"2015-24003",563502,0.495753342490355,0.504246657509645,0.224646940028607,0.0890502606911777,0.271770109067936,0.276625460069352,0.137907230142928,111210,4.4,24003,"Anne Arundel County",0.180788557147795,1
"179","MD2015",0,0,0,0,0,"2015-24005",827471,0.473950144476362,0.526049855523638,0.215757410229482,0.0913010848718565,0.260830893167253,0.271066901438238,0.16104371029317,89111,5.3,24005,"Baltimore County",0.24905911002878,0
"180","MD2015",0,0,0,0,0,"2015-24009",90468,0.494395808462661,0.505604191537339,0.237564663748508,0.086207277711456,0.226798425962771,0.313492063492063,0.135937569085201,109746,4.6,24009,"Calvert County",0.176610188200232,1
"181","MD2015",0,0,0,0,0,"2015-24013",167133,0.494516343271526,0.505483656728474,0.222379781371722,0.0887496783998373,0.220734385190238,0.311829501056045,0.156306653982158,101314,4.2,24013,"Carroll County",0.220728164317204,0
"182","MD2015",0,0,0,0,0,"2015-24015",102418,0.496602159776602,0.503397840223398,0.232312679411822,0.0832861411080084,0.2421156437345,0.298209299146634,0.144076236599035,79189,6,24015,"Cecil County",0.234416205973706,1
"183","MD2015",0,0,0,0,0,"2015-24017",155692,0.482478226241554,0.517521773758446,0.245060760989646,0.0922911902987951,0.258613159314544,0.28963594789713,0.114398941499884,103512,5,24017,"Charles County",0.12810822582918,0
"184","MD2015",0,0,0,0,0,"2015-24033",905737,0.481266637003898,0.518733362996102,0.22563724348238,0.102984641236915,0.285630376146718,0.268307466737033,0.117440272396954,90268,5.2,24033,"Prince George's County",0.0472769052317943,1
"185","MD2015",0,0,0,0,0,"2015-24037",110965,0.498860000901185,0.501139999098815,0.247258144459965,0.095985220565043,0.262235840129771,0.274681205785608,0.119839589059613,100383,4.8,24037,"St. Mary's County",0.125658585622863,0
"186","MD2015",0,0,0,0,0,"2015-24043",149116,0.508141312803455,0.491858687196545,0.222611926285576,0.0829488451943453,0.253601223208777,0.279809007752354,0.161028997558947,70993,5.6,24043,"Washington County",0.307517464986463,0
