Buyer_County,Buyer_State,Year,Total_dosage_unit,FIPS,FIPS_year,Prescription_rate,Population,Avgdosage,Prescription_trend,Distributor_dosage,Overdose_death,percent_male,unmployment_rate,mean_income
Calhoun,FL,2011,642180,12013,2011-12013,78.5,14530,44.19683414,1,NA,NA,NA,10.4,NA
Calhoun,FL,2012,615060,12013,2012-12013,71.3,14639,42.01516497,1,NA,NA,NA,9.1,NA
Calvert,MD,2006,2593500,24009,2006-24009,76.8,87043,29.79561826,1,NA,NA,0.490766182,3.2,84891
Calvert,MD,2007,3168444,24009,2007-24009,90.3,87445,36.23356395,1,NA,NA,0.493012026,2.9,95134
Calvert,MD,2008,3569519,24009,2008-24009,97.5,87788,40.66067116,1,NA,NA,0.494227604,3.7,81662
Calvert,MD,2009,4191330,24009,2009-24009,103.7,88055,47.59900062,0,NA,11,0.490931713,6.4,89289
Calvert,MD,2010,4617950,24009,2010-24009,112.4,87891,52.54178471,0,NA,NA,0.490318881,6.9,88862
Calvert,MD,2011,4632020,24009,2011-24009,111.7,88329,52.44053482,0,NA,10,0.500974724,6.5,89393
Calvert,MD,2012,4377640,24009,2012-24009,110.3,88774,49.312186,0,NA,11,0.505645557,6.3,87449
Campbell,VA,2006,569910,51031,2006-51031,43.3,53475,10.65750351,1,NA,NA,NA,5.3,NA
Campbell,VA,2007,692390,51031,2007-51031,42.7,53769,12.87712251,1,NA,NA,NA,5.6,NA
Campbell,VA,2008,697000,51031,2008-51031,42.4,54232,12.85219059,1,NA,NA,NA,6.6,NA
Campbell,VA,2009,877700,51031,2009-51031,38.7,52542,16.70473145,1,NA,NA,NA,10.8,NA
Campbell,VA,2010,917100,51031,2010-51031,40.6,54174,16.92878503,1,NA,NA,NA,7.7,NA
Campbell,VA,2011,1048500,51031,2011-51031,39.8,54485,19.24382858,1,NA,NA,NA,7.2,NA
Campbell,VA,2012,1111290,51031,2012-51031,38.7,54797,20.28012482,1,NA,NA,NA,6.5,NA
Caroline,MD,2006,953200,24011,2006-24011,56.8,32214,29.58961942,1,NA,NA,NA,4.4,NA
Caroline,MD,2007,1063650,24011,2007-24011,53.9,32720,32.50764059,1,NA,NA,NA,3.8,NA
Caroline,MD,2008,1099040,24011,2008-24011,53.4,32983,33.321408,1,NA,NA,NA,5.1,NA
Caroline,MD,2009,1089240,24011,2009-24011,61,32727,33.28261069,1,NA,NA,NA,9.1,NA
Caroline,MD,2010,1145990,24011,2010-24011,61.3,32805,34.9333943,1,NA,NA,NA,9.2,NA
Caroline,MD,2011,1179160,24011,2011-24011,62.9,32955,35.78091337,1,NA,NA,NA,8.6,NA
Caroline,MD,2012,1181640,24011,2012-24011,65.2,32947,35.86487389,1,NA,NA,NA,7.7,NA
Carroll,MD,2006,4387533,24013,2006-24013,64.2,166950,26.28052111,1,NA,11,0.499906026,3.2,74106
Carroll,MD,2007,5368175,24013,2007-24013,68.4,167390,32.06986678,1,NA,10,0.494179175,2.9,82492
Carroll,MD,2008,5988200,24013,2008-24013,71.8,167433,35.76475366,1,NA,13,0.493956411,3.6,78653
Carroll,MD,2009,6641560,24013,2009-24013,77.5,168964,39.3075448,1,NA,18,0.493453427,5.9,79227
Carroll,MD,2010,7096880,24013,2010-24013,84,167208,42.44342376,1,NA,13,0.492409158,6.8,82077
Carroll,MD,2011,7390028.3,24013,2011-24013,82.8,167277,44.17838854,1,NA,11,0.49277892,6.1,84117
Carroll,MD,2012,7228570,24013,2012-24013,85.2,167249,43.22040789,1,NA,22,0.494644683,5.9,80028
Cecil,MD,2006,3844400,24015,2006-24015,88.6,98821,38.90266239,1,NA,17,0.490040802,5.7,56509
Cecil,MD,2007,4116070,24015,2007-24015,93.8,99628,41.31438953,1,NA,21,0.500847585,5.8,63159
Cecil,MD,2008,4927300,24015,2008-24015,99.5,100232,49.15895123,1,NA,NA,0.496777615,6.7,68338
Cecil,MD,2009,5419220,24015,2009-24015,101,99069,54.70147069,1,NA,17,0.492737807,10.7,60563
Cecil,MD,2010,6885230,24015,2010-24015,113.4,100139,68.75672815,0,NA,26,0.495024654,9.5,62427
Cecil,MD,2011,7023760,24015,2011-24015,112.5,100716,69.73827396,0,NA,25,0.496184632,8.9,61686
Cecil,MD,2012,3916030,24015,2012-24015,96.8,101109,38.7307757,1,NA,25,0.495899544,8.3,63036
Champaign,OH,2006,853470,39021,2006-39021,70.8,40018,21.32715278,1,NA,NA,NA,5.1,NA
Champaign,OH,2007,1003560,39021,2007-39021,74.5,40127,25.00959454,1,NA,NA,NA,5.1,NA
Champaign,OH,2008,1092240,39021,2008-39021,74.4,40263,27.12763579,1,NA,NA,NA,5.9,NA
Champaign,OH,2009,1152940,39021,2009-39021,83,39549,29.15219095,1,NA,NA,NA,9.8,NA
Champaign,OH,2010,1208440,39021,2010-39021,87.1,40140,30.10563029,1,NA,NA,NA,11.5,NA
Champaign,OH,2011,1346560,39021,2011-39021,86.5,40092,33.58675047,1,NA,NA,NA,9.4,NA
Champaign,OH,2012,1341820,39021,2012-39021,86.2,39982,33.56060227,1,NA,NA,NA,7.4,NA
Charles,MD,2006,3787602,24017,2006-24017,81,141164,26.83121759,1,NA,NA,0.487337625,3.1,80179
Charles,MD,2007,4505292,24017,2007-24017,87,142721,31.56712747,1,NA,NA,0.475833784,2.9,83412
Charles,MD,2008,4639592,24017,2008-24017,89.3,143783,32.26801499,1,NA,12,0.483752948,3.6,87030
Charles,MD,2009,5132796,24017,2009-24017,92.2,140181,36.61548997,1,NA,11,0.491562724,6.3,89115
Charles,MD,2010,5674840,24017,2010-24017,96.2,143912,39.43270888,1,NA,NA,0.48171138,6.9,87007
Charles,MD,2011,5744030,24017,2011-24017,100.2,145508,39.47569893,1,NA,NA,0.486226782,6.7,91733
Charles,MD,2012,5426630,24017,2012-24017,96,147107,36.88899916,1,NA,13,0.480828995,6.7,90880
Charlotte,FL,2006,6489230,12015,2006-12015,102.3,157099,41.3066283,0,NA,NA,0.47632707,3,44166
