,State,Year,1_Include the treatment of pain?,3_max_amount_prescription,3_1_max_amount_prescriptions_det,4_prescrib_duration,4_1_prescrib_duration_det,5_unprof_excessive_Rx,5_1_excess_Rx_factors,8_pracitioner_education,9_hc_facility_methods,10_integrative_care,11_individual_care,14_risk_benefit_before,16_PMPdata_submit,16_1_PMPdata_timeframe,17_data_other state PMP,18_PMP_pract_registration,19_prac_checkPMP,20_PMP_teach,21PMP_eval_outcomes,key2,Population,percent_male,percent_female,under_18,18-24,25-44,45-64,over_65,Mean_income,Unemployment_rate,County,FIPS County Code,Prescribing Rate,outcome1_avg,outcome2_med,outcome3_medbyyear
53,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12027,34905,0.566193955,0.433806045,0.209081793,0.098238075,0.256238361,0.238074774,0.198366996,43594,8.2,DeSoto,12027,62.5,0,0,0
54,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12041,16953,0.524508936,0.475491064,0.20497847,0.124461747,0.206453135,0.275644429,0.188462219,53081,7.9,Gilchrist,12041,43,0,0,0
55,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12127,500474,0.48703629,0.51296371,0.181813641,0.088983644,0.214001127,0.288170814,0.227030775,56975,8.2,Volusia,12127,89.7,0,0,0
56,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12131,59186,0.506504917,0.493495083,0.20398405,0.071892001,0.250363262,0.294326361,0.179434326,62249,6.1,Walton,12131,104,0,0,0
57,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12057,1293824,0.487536945,0.512463055,0.233275932,0.099003419,0.283036178,0.256163126,0.128521344,69525,6.6,Hillsborough,12057,77,1,0,1
58,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12101,474388,0.486336079,0.513663921,0.206238353,0.073037261,0.22943034,0.271431824,0.219862222,58132,7.7,Pasco,12101,95.5,1,1,1
59,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12021,339065,0.492094436,0.507905564,0.185309601,0.069337738,0.203238317,0.253641632,0.288472712,91387,7.1,Collier,12021,66.1,0,0,0
60,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12003,27001,0.521425132,0.478574868,0.250398133,0.088885597,0.271212177,0.264730936,0.124773157,61205,7.4,Baker,12003,145.9,0,0,0
61,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12133,24503,0.545688283,0.454311717,0.205280986,0.087091377,0.264171734,0.278904624,0.164551279,46476,7.7,Washington,12133,177.2,0,0,0
62,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12105,622712,0.490155963,0.509844037,0.228347936,0.089036344,0.238879289,0.250891263,0.192845168,56379,8.2,Polk,12105,76.7,1,0,1
